model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_9.pdb	-	20	0.287	nan	nan	160.045	160.045	nan	13.761	-	-	-	0.000	3309.630	677.142	0.033	0.000	0.000	0.000	0.287	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_31.pdb	-	21	0.585	nan	nan	406.724	406.724	nan	15.518	-	-	-	0.000	3309.620	677.118	4.061	0.000	0.000	0.000	0.626	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_53.pdb	-	22	0.686	nan	nan	390.066	390.066	nan	22.954	-	-	-	0.000	3309.620	677.163	6.382	0.000	0.000	0.000	0.750	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_46.pdb	-	23	0.785	nan	nan	340.813	340.813	nan	29.080	-	-	-	0.000	3309.620	677.183	0.636	0.000	0.000	0.000	0.791	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_11.pdb	-	24	1.349	nan	nan	286.577	286.577	nan	19.196	-	-	-	0.000	3309.620	677.173	22.371	0.000	0.000	0.000	1.573	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_24.pdb	-	25	1.388	nan	nan	252.702	252.702	nan	21.764	-	-	-	0.000	3309.630	677.101	3.598	0.000	0.000	0.000	1.424	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_17.pdb	-	26	1.418	nan	nan	402.104	402.104	nan	24.744	-	-	-	0.000	3309.620	677.138	25.322	0.000	0.000	0.000	1.671	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_30.pdb	-	27	1.710	nan	nan	356.647	356.647	nan	29.170	-	-	-	0.000	3309.620	677.026	58.626	0.000	0.000	0.000	2.296	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_26.pdb	-	28	9996.078	nan	nan	357.225	357.225	nan	31.190	-	-	-	0.000	3309.630	677.134	-999999.000	0.000	0.000	0.000	-3.912	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_39.pdb	-	29	9998.477	nan	nan	238.924	238.924	nan	28.863	-	-	-	0.000	3309.620	677.137	-999999.000	0.000	0.000	0.000	-1.513	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_6.pdb	-	30	9998.676	nan	nan	200.478	200.478	nan	28.146	-	-	-	0.000	3309.620	677.159	-999999.000	0.000	0.000	0.000	-1.314	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
