model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../2_flexref/flexref_48.pdb	-	45	10000.379	nan	nan	388.958	388.958	nan	29.735	-	-	-	0.000	3313.820	692.336	-999999.000	0.000	0.000	0.000	0.389	2269.810	0.000	3247.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_6.pdb	-	46	10000.474	nan	nan	199.124	199.124	nan	25.992	-	-	-	0.000	3313.740	692.500	-999999.000	0.000	0.000	0.000	0.484	2270.140	0.000	3247.170	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_26.pdb	-	47	10000.512	nan	nan	262.583	262.583	nan	31.784	-	-	-	0.000	3314.440	692.256	-999999.000	0.000	0.000	0.000	0.522	2267.570	0.000	3246.450	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_50.pdb	-	48	10000.778	nan	nan	342.497	342.497	nan	23.537	-	-	-	0.000	3314.120	692.391	-999999.000	0.000	0.000	0.000	0.788	2269.540	0.000	3246.980	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_56.pdb	-	49	10000.779	nan	nan	109.702	109.702	nan	18.807	-	-	-	0.000	3313.080	692.467	-999999.000	0.000	0.000	0.000	0.789	2269.180	0.000	3247.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_32.pdb	-	50	10000.801	nan	nan	334.160	334.160	nan	11.953	-	-	-	0.000	3313.850	692.310	-999999.000	0.000	0.000	0.000	0.811	2269.720	0.000	3246.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_45.pdb	-	51	10000.848	nan	nan	177.511	177.511	nan	24.515	-	-	-	0.000	3313.550	692.232	-999999.000	0.000	0.000	0.000	0.858	2268.190	0.000	3247.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_5.pdb	-	52	10000.904	nan	nan	111.814	111.814	nan	24.941	-	-	-	0.000	3314.200	692.224	-999999.000	0.000	0.000	0.000	0.914	2269.510	0.000	3247.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_40.pdb	-	53	10000.961	nan	nan	335.811	335.811	nan	29.898	-	-	-	0.000	3314.380	692.617	-999999.000	0.000	0.000	0.000	0.971	2267.670	0.000	3246.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_53.pdb	-	54	10001.005	nan	nan	344.806	344.806	nan	20.934	-	-	-	0.000	3313.800	692.684	-999999.000	0.000	0.000	0.000	1.015	2267.620	0.000	3247.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_51.pdb	-	55	10001.122	nan	nan	359.703	359.703	nan	28.764	-	-	-	0.000	3314.150	692.373	-999999.000	0.000	0.000	0.000	1.132	2269.700	0.000	3246.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_18.pdb	-	56	10001.333	nan	nan	390.860	390.860	nan	16.342	-	-	-	0.000	3314.040	692.306	-999999.000	0.000	0.000	0.000	1.343	2270.670	0.000	3246.880	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_4.pdb	-	57	10001.347	nan	nan	217.505	217.505	nan	16.988	-	-	-	0.000	3313.940	692.482	-999999.000	0.000	0.000	0.000	1.357	2269.570	0.000	3246.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_59.pdb	-	58	10002.383	nan	nan	277.156	277.156	nan	27.618	-	-	-	0.000	3313.710	692.569	-999999.000	0.000	0.000	0.000	2.393	2267.690	0.000	3246.950	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_58.pdb	-	59	10002.766	nan	nan	336.625	336.625	nan	24.074	-	-	-	0.000	3313.660	692.874	-999999.000	0.000	0.000	0.000	2.776	2268.870	0.000	3247.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_54.pdb	-	60	10003.207	nan	nan	331.120	331.120	nan	26.725	-	-	-	0.000	3313.790	692.444	-999999.000	0.000	0.000	0.000	3.217	2270.100	0.000	3246.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000
